Species,circRNA name,circAltas ID,Uniform ID,Strand,Host gene,Disease_Name,Expression Pattern,PMID,miRNA
chicken,chr1:194735582-194744050,gal-ENSGALG00000017320_0001,"circENSGALG00000017320(2,3,4,5,6).1",-,RAB6A,Avian leukosis virus,Upregulated,28415618,unknown
chicken,chr23:5549365-5549645,unknown,unknown,unknown,HMGCL,Avian leukosis virus,Upregulated,28415618,unknown
chicken,chr5:58225735-58230830,unknown,unknown,unknown,-,Avian leukosis virus,Downregulated,28415618,"gga-miR-6702-5p,gga-miR-1662,gga-miR-34b-5p,gga-miR-6611-5p,gga-miR-6641-5p"
chicken,chr8:1033880-1047222,gal-VAV3_0002,"circVAV3(15,16,17,18).1",-,VAV3,Avian leukosis virus,Downregulated,28415618,unknown
human,hsa_circRNA_014213,unknown,unknown,unknown,SPRR1B,Papillary thyroid carcinoma,Downregulated,30123704,"hsa-miR-6812-5p, hsa-miR-6819-5p, hsa-miR-608, hsa-miR-5572, hsa-miR-5088-5p"
human,hsa_circRNA_100192,unknown,unknown,+,ST3GAL3,Diabetic retinopathy,Upregulated,28817829,unknown
human,hsa_circRNA_404457,unknown,unknown,-,TCEA3,Diabetic retinopathy,Upregulated,28817829,unknown
human,hsa_circRNA_014724,unknown,unknown,unknown,unknown,Hepatic steatosis,Upregulated,28717649,unknown
human,hsa_circRNA_100160,unknown,unknown,unknown,unknown,Nasopharyngeal carcinoma,Upregulated,32218863,unknown
human,hsa_circRNA_15922,unknown,unknown,unknown,unknown,Preeclampsia,Downregulated,33202359,unknown
human,hsa_circRNA_4675,unknown,unknown,unknown,unknown,Preeclampsia,Downregulated,33202359,"hsa-miR-1182, hsa-miR-4298, hsa-miR-4299, hsa-miR-518a-5p, hsa-miR-636"
human,hsa_circ_0000096,hsa-MFSD14A_0001,"circMFSD14A(2,3,4,5,6,7,8).1",+,HIAT1,Clear cell renal cellcarcinoma,Downregulated,28089832,"miR-23a,miR-23b,miR-581,miR-146a,miR-450a"
human,hsa_circ_0000096,hsa-MFSD14A_0001,"circMFSD14A(2,3,4,5,6,7,8).1",+,HIAT1,Gastric cancer,Downregulated,28081541,unknown
human,hsa_circ_0000096,hsa-MFSD14A_0001,"circMFSD14A(2,3,4,5,6,7,8).1",unknown,HIAT1,Hepatocellular carcinoma,Downregulated,31108351,unknown
human,hsa_circ_0013339,hsa-SLC30A7_0008,"circSLC30A7(3,6).1",unknown,unknown,Acute myeloid leukemia,Upregulated,30424877,miR-203
human,hsa_circ_0013339,hsa-SLC30A7_0008,"circSLC30A7(3,6).1",+,SLC30A7,Colorectal cancer,Upregulated,30173892,unknown
human,hsa_circ_0013339,hsa-SLC30A7_0008,"circSLC30A7(3,6).1",+,SLC30A7,Oral squamous cell carcinoma,Upregulated,28368401,unknown
human,hsa_circRNA_100291,hsa-SLC30A7_0001,"circSLC30A7(3,4,5L,6,7,8).1",+,SLC30A7,Hepatocellular carcinoma,Downregulated,30092792,"hsa-miR-583, hsa-miR-1276"
human,hsa_circ_0000098,hsa-SLC30A7_0001,"circSLC30A7(3,4,5L,6,7,8).1",+,SLC30A7,Breast cancer,Upregulated,28744405,"miR-141-5p,miR-500a-5p,miR-509-3p,miR-619-3p,miR-578"
human,hsa_circ_0110251,hsa-COL11A1_0009,"circCOL11A1(5,6,9).1",-,COL11A1,Osteoarthritis,Downregulated,30923232,unknown
human,hsa_circRNANTNG1,hsa-NTNG1_0008,circNTNG1(3).1,+,NTNG1,PDLSC osteogenis,unknown,29197342,unknown
human,hsa_circ_0000105,hsa-CD53_0001,"circCD53(2,L3).1",+,CD53,Liver cancer,Upregulated,32729955,unknown
human,hsa_circ_0013509,unknown,unknown,-,WDR77,Cardiovascular disease,Upregulated,29042195,miR-124
human,hsa_circ_0013520,unknown,unknown,-,ST7L,Glioblastoma,Upregulated,32308410,unknown
human,hsa_circ_0013549,unknown,unknown,-,RHOC,Ovarian cancer,Upregulated,31639291,unknown
human,hsa_circ_0000110,hsa-PTPN22_0006,"circPTPN22(15,16,17,18).1",-,PTPN22,Gastric cancer,Downregulated,33430866,has_miR_665
human,hsa_circ_0000002,hsa-SDF4_0001,"circSDF4(3,4).1",-,SDF4,Breast cancer,Downregulated,30810051,unknown
human,hsa_circ_0002623,hsa-VANGL1_0001,circVANGL1(3L).1,+,VANGL1,Bladder cancer,Upregulated,30146736,miR-605-3p
human,hsa_circ_0002623,hsa-VANGL1_0001,circVANGL1(3L).1,+,VANGL1,Non-small cell lung cancer,Upregulated,31076544,unknown
human,hsa_circ_0000117,hsa-MAN1A2_0002,"circMAN1A2(2,3,4).2",+,MAN1A2,Gastric cancer,Upregulated,31189743,unknown
human,hsa_circ_0000118,hsa-MAN1A2_0003,"circMAN1A2(2,3,4,5).1",+,MAN1A2,Gastric cancer,Upregulated,31189743,unknown
human,hsa_circ_0000119,hsa-MAN1A2_0008,"circMAN1A2(2,3,4,5,6).1",+,MAN1A2,Gastric cancer,Upregulated,31189743,unknown
human,hsa_MAN1A2,hsa-MAN1A2_0003,"circMAN1A2(2,3,4,5).1",+,MAN1A2,Colon cancer,unknown,27892494,unknown
human,hsa_circ_MAN1A2/hsa_circ_02643,hsa-MAN1A2_0003,"circMAN1A2(2,3,4,5).1",+,MAN1A2,Glioblastoma,Unclear,26873924,unknown
human,hsa_circ_0000119,hsa-MAN1A2_0008,"circMAN1A2(2,3,4,5,6).1",+,MAN1A2,Prostate cancer,Downregulated,30416748,unknown
human,hsa_circ_0000119,hsa-MAN1A2_0008,"circMAN1A2(2,3,4,5,6).1",unknown,MAN1A2,Lung cancer,Upregulated,31046163,hsa-miR-135a-3p.
human,hsa_circ_0000119,hsa-MAN1A2_0008,"circMAN1A2(2,3,4,5,6).1",unknown,MAN1A2,Nasopharyngeal carcinoma,Upregulated,31046163,hsa-miR-135a-3p.
human,hsa_circ_0000119,hsa-MAN1A2_0008,"circMAN1A2(2,3,4,5,6).1",unknown,MAN1A2,Oral squamous cell carcinoma,Upregulated,31046163,hsa-miR-135a-3p.
human,hsa_circ_0000119,hsa-MAN1A2_0008,"circMAN1A2(2,3,4,5,6).1",unknown,MAN1A2,Ovarian cancer,Upregulated,31046163,hsa-miR-135a-3p.
human,hsa_circ_0000119,hsa-MAN1A2_0008,"circMAN1A2(2,3,4,5,6).1",unknown,MAN1A2,Polycystic ovary syndrome,Downregulated,30779115,unknown
human,hsa_circ_0000119,hsa-MAN1A2_0008,"circMAN1A2(2,3,4,5,6).1",unknown,MAN1A2,Thyroid cancer,Upregulated,31046163,hsa-miR-135a-3p.
human,hsa_circ_0013745,hsa-MAN1A2_0015,"circMAN1A2(7,8,9).1",+,MAN1A2,Chronic myeloid leukemia,Upregulated,30205959,unknown
human,hsa_circ_0002059,hsa-MAN1A2_0021,"circMAN1A2(7,8,9,10,11,12).1",+,MAN1A2,Hypopharyngeal carcinoma,Downregulated,30365065,unknown
human,hsa_circ_0009910,hsa-MFN2_0004,circMFN2(L4).1,+,MFN2,Acute myeloid leukemia,Upregulated,30612066,unknown
human,hsa_circ_0009910,hsa-MFN2_0004,circMFN2(L4).1,+,MFN2,Hepatocellular carcinoma,Upregulated,31886256,unknown
human,hsa_circ_0009910,hsa-MFN2_0004,circMFN2(L4).1,+,MFN2,Hepatocellular carcinoma,Upregulated,32141540,unknown
human,hsa_circ_0009910,hsa-MFN2_0004,circMFN2(L4).1,+,MFN2,Osteosarcoma,Upregulated,29117539,unknown
human,hsa_circ_0009910,hsa-MFN2_0004,circMFN2(L4).1,+,MFN2,Ovarian cancer,Upregulated,32588730,unknown
human,hsa_circ_0006470,hsa-MFN2_0003,"circMFN2(9,10,11).1",+,MFN2,Gastric cancer,Upregulated,28544609,unknown
human,hsa_circRNA_10008,hsa-VPS13D_0196,"circVPS13D(51,52,53,54,55,56,57,58,59,60,61,62,63).1",+,VPS13D,Breast cancer,unknown,26472973,unknown
human,hsa_circ_0005986,hsa-PRDM2_0003,"circPRDM2(3,4,5).1",+,PRDM2,Hepatocellular carcinoma,Downregulated,28410211,unknown
human,hsa_circ_0000003,unknown,unknown,+,ATAD3B,Tongue squamous cell carcinoma,Upregulated,33649795,unknown
human,hsa_circ_0013912,hsa-POLR3C_0017,"circPOLR3C(6,L7).1",-,POLR3C,Pancreatic cancer,Upregulated,32884344,unknown
human,hsa_circRNA_100323,hsa-ACP6_0004,"circACP6(2,3,4).1",-,ACP6,Lung cancer,Upregulated,28685964,"miR-29,CDK6"
human,hsa_circRNA_100323,hsa-ACP6_0004,"circACP6(2,3,4).1",-,ACP6,Ovarian cancer,Upregulated,32157748,unknown
human,hsa_circ_0014010,unknown,unknown,+,PRPF3,Heart failure,Upregulated,31991759,unknown
human,hsa_circ_0003439,hsa-SETDB1_0001,"circSETDB1(2,3,4,5).1",+,SETDB1,Lung cancer,Upregulated,33614250,unknown
human,hsa_circ_0000128,hsa-SCNM1_0001,"circSCNM1(3,RI,4,5).1",+,SCNM1,Pancreatic cancer,Upregulated,31605569,unknown
human,hsa_circ_0014130,hsa-PIP5K1A_0018,"circPIP5K1A(8,9,10,11,12).1",+,PIP5K1A,Colon cancer,Upregulated,31558874,unknown
human,hsa_circ_0014130,hsa-PIP5K1A_0018,"circPIP5K1A(8,9,10,11,12).1",+,PIP5K1A,Gastric cancer,Upregulated,32190005,miR-376c-3p
human,hsa_circ_0014130,hsa-PIP5K1A_0018,"circPIP5K1A(8,9,10,11,12).1",+,PIP5K1A,Glioblastoma,Upregulated,33413401,unknown
human,hsa_circ_0014130,hsa-PIP5K1A_0018,"circPIP5K1A(8,9,10,11,12).1",+,PIP5K1A,Non-small cell lung cancer,Upregulated,29440731,"hsa-miR-892a, hsa-miR-216a-3p, hsa-miR-302c-3p, hsa-miR-493-5p, hsa-miR-200c-5p"
human,hsa_circ_0014130,hsa-PIP5K1A_0018,"circPIP5K1A(8,9,10,11,12).1",+,PIP5K1A,Lung cancer,Upregulated,31818066,unknown
