species,circRNA name,Position,Function,Gene,Gene Description,PMID
Bos taurus,circFGFR4,-,circFGFR4 promotes differentiation of myoblasts via binding miR-107 to relieve its inhibition of Wnt3a.,FGFR4,fibroblast growth factor receptor 4 ,29858062
Bos taurus,circFUT10,chr27:28383145-28383439,circFUT10 reduces proliferation and facilitates differentiation of myoblasts by sponging miR-133a,FUT10,fucosyltransferase 10,29044517
Bos taurus,circLMO7,chr12:51190589-51192931,circLMO7 regulates myoblasts differentiation and survival by sponging miR-378a-3p,LMO7,LIM domain 7,29072698
Macaca mulatta,mmu_circ_001616,chr1:38167477-38170326,muscle function,-,-,26546448
Macaca mulatta,mmu_circ_003723,chr11:55045846-55050896,muscle function,XRCC6BP1,-,26546448
Macaca mulatta,mmu_circ_005764,chr13:61731535-61743299,muscle function,XPO1,exportin 1,26546448
Macaca mulatta,mmu_circ_006028,chr14:105577271-105585481,muscle function,GUCY1A2,guanylate cyclase 1 soluble subunit alpha 2,26546448
Macaca mulatta,mmu_circ_006895,chr14:84328521-84334852,muscle function,PICALM,phosphatidylinositol binding clathrin assembly protein,26546448
Macaca mulatta,mmu_circ_007427,chr15:41837367-41837519,muscle function,TPM2,tropomyosin 2,26546448
Macaca mulatta,mmu_circ_008386,chr16:48806470-48816575,muscle function,PIP4K2B,phosphatidylinositol-5-phosphate 4-kinase type 2 beta,26546448
Macaca mulatta,mmu_circ_008906,chr17:15578220-15578554,muscle function,SPART,spartin,26546448
Macaca mulatta,mmu_circ_010404,chr2:103014133-103015114,muscle function,-,-,26546448
Macaca mulatta,mmu_circ_010510,chr2:116858591-116871693,muscle function,-,-,26546448
Macaca mulatta,mmu_circ_010824,chr2:173225548-173289402,muscle function,GADL1,glutamate decarboxylase like 1,26546448
Macaca mulatta,mmu_circ_011105,chr2:45290723-45308296,muscle function,-,-,26546448
Macaca mulatta,mmu_circ_013168,chr3:81496219-81498593,muscle function,-,-,26546448
Macaca mulatta,mmu_circ_014269,chr4:95400562-95404880,muscle function,-,-,26546448
Macaca mulatta,mmu_circ_014509,chr5:140155342-140181652,muscle function,ARHGAP10,Rho GTPase activating protein 10,26546448
Macaca mulatta,mmu_circ_014513,chr5:140162122-140181652,muscle function,ARHGAP10,Rho GTPase activating protein 10,26546448
Macaca mulatta,mmu_circ_015060,chr5:79997804-79999239,muscle function,-,-,26546448
Macaca mulatta,mmu_circ_017332,chr7:45804333-45809341,muscle function,AAGAB,alpha and gamma adaptin binding protein,26546448
Macaca mulatta,mmu_circ_018323,chr8:42216485-42218776,muscle function,-,-,26546448
Drosophila melanogaster,chr2L:10816025-10818566,chr2L:10816025-10818566,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr2L:12153509-12155658,chr2L:12153509-12155658,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr2L:12240869-12241780,chr2L:12240869-12241780,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr2L:12298569-12299394,chr2L:12298569-12299394,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr2L:13275589-13276512,chr2L:13275589-13276512,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr2L:14610685-14611916,chr2L:14610685-14611916,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr2L:16976491-16977050,chr2L:16976491-16977050,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr2L:19409405-19410643,chr2L:19409405-19410643,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr2L:19714890-19715953,chr2L:19714890-19715953,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr2L:21311754-21312208,chr2L:21311754-21312208,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr2L:21384456-21385397,chr2L:21384456-21385397,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr2L:21384456-21389079,chr2L:21384456-21389079,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr2L:21712770-21717672,chr2L:21712770-21717672,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr2L:21727007-21727573,chr2L:21727007-21727573,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr2L:2793176-2798836,chr2L:2793176-2798836,Head development [differential expression (during head development)],-,-,25544350
Drosophila melanogaster,chr2L:2798487-2798836,chr2L:2798487-2798836,Head development [differential expression (during head development)],-,-,25544350
